title,speciality,description,technologies,full_text,source
Django Site Kyrs,Программная инженерия,курсовая работа под заказ,HTML,"# 🛍️ Django Shop Project

Современный веб-сайт магазина, построенный на Django с системой пользователей, отзывов, статей и корзины покупок.

## 🚀 Быстрый старт

### Для новых пользователей
Если вы впервые настраиваете проект, выполните следующие шаги:

1. **Установите PostgreSQL** (если не установлен)
2. **Создайте базу данных и пользователя** (см. раздел ""Настройка PostgreSQL"")
3. **Обновите настройки** в `shop/settings.py`
4. **Установите зависимости** и запустите проект

### Предварительные требования
- PostgreSQL должен быть установлен и запущен
- Создайте базу данных для проекта
- Настройте пользователя PostgreSQL

## 🗄️ Настройка PostgreSQL

### 1. Установка PostgreSQL
Скачайте и установите PostgreSQL с официального сайта: https://www.postgresql.org/download/

### 2. Создание базы данных и пользователя

#### Windows (через psql):
```sql
-- Подключитесь к PostgreSQL как суперпользователь
psql -U postgres

-- Создайте базу данных
CREATE DATABASE django_shop_db;

-- Создайте пользователя
CREATE USER your_username WITH PASSWORD 'your_password';

-- Дайте права пользователю
GRANT ALL PRIVILEGES ON DATABASE django_shop_db TO your_username;

-- Выйдите
\q
```

#### Linux/macOS:
```bash
# Создание базы данных
sudo -u postgres createdb django_shop_db

# Создание пользователя
sudo -u postgres createuser --interactive your_username

# Установка пароля
sudo -u postgres psql -c ""ALTER USER your_username PASSWORD 'your_password';""

# Дать права
sudo -u postgres psql -c ""GRANT ALL PRIVILEGES ON DATABASE django_shop_db TO your_username;""
```

### 3. Настройка Django
Обновите настройки в `shop/settings.py`:
```python
DATABASES = {
    'default': {
        'ENGINE': 'django.db.backends.postgresql',
        'NAME': 'django_shop_db',        # Ваша база данных
        'USER': 'your_username',         # Ваш пользователь
        'PASSWORD': 'your_password',      # Ваш пароль
        'HOST': 'localhost',
        'PORT': '5432',
    }
}
```

### 4. Пример полной настройки

#### Вариант 1: Использование стандартной базы данных `postgres`
```sql
-- 1. Подключитесь к PostgreSQL как суперпользователь
psql -U postgres

-- 2. Создайте пользователя (если нужно)
CREATE USER myuser WITH PASSWORD 'mypassword';

-- 3. Дайте права на базу данных postgres
GRANT ALL PRIVILEGES ON DATABASE postgres TO myuser;

-- 4. Выйдите
\q
```

#### Вариант 2: Создание отдельной базы данных
```sql
-- 1. Подключитесь к PostgreSQL
psql -U postgres

-- 2. Создайте базу данных
CREATE DATABASE django_shop_db;

-- 3. Создайте пользователя
CREATE USER myuser WITH PASSWORD 'mypassword';

-- 4. Дайте права
GRANT ALL PRIVILEGES ON DATABASE django_shop_db TO myuser;

-- 5. Выйдите
\q
```

#### Настройка в .env файле:
```env
# Для варианта 1 (стандартная база postgres)
DB_NAME=postgres
DB_USER=postgres
DB_PASSWORD=your_password

# Для варианта 2 (отдельная база)
DB_NAME=django_shop_db
DB_USER=myuser
DB_PASSWORD=mypassword
```

### Windows

#### 1. Клонирование и настройка
```powershell
# Перейдите в директорию проекта
cd ...\django_site_kyrs

# Активируйте виртуальное окружение
.\venv\Scripts\Activate.ps1

# Установите зависимости (если не установлены)
pip install -r requirements.txt
```

#### 2. Настройка базы данных
```powershell
# Выполните миграции
python manage.py migrate

# Создайте суперпользователя (опционально)
python manage.py createsuperuser
```

#### 3. Запуск сервера
```powershell
# Запустите сервер разработки
python manage.py runserver
```

#### 4. Открытие в браузере
Откройте браузер и перейдите по адресу: **http://127.0.0.1:8000**

---

### Linux/macOS

#### 1. Клонирование и настройка
```bash
# Перейдите в директорию проекта
cd /path/to/django_site_kyrs

# Активируйте виртуальное окружение
source venv/bin/activate

# Установите зависимости
pip install -r requirements.txt
```

#### 2. Настройка базы данных
```bash
# Выполните миграции
python manage.py migrate

# Создайте суперпользователя (опционально)
python manage.py createsuperuser
```

#### 3. Запуск сервера
```bash
# Запустите сервер разработки
python manage.py runserver

# Или используйте готовый скрипт
./run_django.sh
```

#### 4. Открытие в браузере
Откройте браузер и перейдите по адресу: **http://127.0.0.1:8000**

---

## 📋 Требования

### Системные требования
- Python 3.8+
- pip
- Виртуальное окружение (venv)
- PostgreSQL (база данных)

### Зависимости проекта
```
Django==5.2.6
pillow==11.3.0
psycopg2-binary==2.9.10    # PostgreSQL драйвер
python-dotenv==1.1.1
whitenoise==6.11.0
gunicorn==23.0.0
```

**База данных:** PostgreSQL (не SQLite)

---

## 🗂️ Структура проекта

```
django_site_kyrs/
├── 📁 articles/          # Модуль статей
├── 📁 cart/             # Модуль корзины
├── 📁 main/             # Основной модуль (товары/услуги)
├── 📁 review/           # Модуль отзывов
├── 📁 user/             # Модуль пользователей
├── 📁 shop/             # Настройки Django
├── 📁 static/           # Статические файлы (CSS, JS)
├── 📁 templates/        # HTML шаблоны
├── 📄 manage.py         # Django управление
├── 📄 requirements.txt  # Зависимости
└── 📄 README.md         # Документация
```

---

## ⚙️ Настройка

### Переменные окружения
Создайте файл `.env` в корне проекта на основе `env.example`:
```env
# Django Settings
SECRET_KEY=your-secret-key-here
DEBUG=True

# Database Settings
DB_NAME=django_shop_db
DB_USER=postgres
DB_PASSWORD=your_password
DB_HOST=localhost
DB_PORT=5432
```

### Настройки базы данных
Проект использует переменные окружения для настройки PostgreSQL. Настройки в `shop/settings.py`:
```python
DATABASES = {
    'default': {
        'ENGINE': 'django.db.backends.postgresql',
        'NAME': os.getenv('DB_NAME', 'django_shop_db'),
        'USER': os.getenv('DB_USER', 'postgres'),
        'PASSWORD': os.getenv('DB_PASSWORD', ''),
        'HOST': os.getenv('DB_HOST', 'localhost'),
        'PORT': os.getenv('DB_PORT', '5432'),
    }
}
```

**Настройка через .env файл:**
1. Скопируйте `env.example` в `.env`
2. Заполните ваши данные базы данных
3. Перезапустите Django

**Требования для работы:**
- PostgreSQL должен быть установлен и запущен
- База данных должна быть создана (см. раздел ""Настройка PostgreSQL"")
- Пользователь PostgreSQL должен иметь права доступа к базе данных

---

## 🎯 Основные функции

### 👤 Система пользователей
- Регистрация и авторизация
- Профили пользователей
- Система достижений и прогресса
- Уведомления

### 🛒 Магазин
- Каталог товаров и услуг
- Корзина покупок
- Детальные страницы товаров

### 📝 Контент
- Система статей
- Отзывы пользователей
- Административная панель

### 🎨 Дизайн
- Адаптивный дизайн
- Современный UI/UX
- Темная/светлая тема

---

## 🛠️ Команды разработки

### Основные команды Django
```bash
# Запуск сервера
python manage.py runserver

# Создание миграций
python manage.py makemigrations

# Применение миграций
python manage.py migrate

# Создание суперпользователя
python manage.py createsuperuser

# Сбор статических файлов
python manage.py collectstatic
```

### Управление данными
```bash
# Загрузка категорий прогресса
python manage.py load_progress_categories

# Загрузка достижений
python manage.py load_achievements
```

### Полезные скрипты
```bash
# Проверка подключения к базе данных
python check_db.py

# Автоматическая настройка базы данных
python setup_db.py
```

---

## 🚀 Развертывание

### Локальная разработка
```bash
# Windows
.\venv\Scripts\Activate.ps1
python manage.py runserver

# Linux/macOS
source venv/bin/activate
python manage.py runserver
```

### Продакшн
```bash
# Сбор статических файлов
python manage.py collectstatic

# Запуск с Gunicorn
gunicorn shop.wsgi:application
```

---

## 🐛 Решение проблем

### Ошибка ""ModuleNotFoundError: No module named 'psycopg2'""
```bash
# Установите psycopg2 для PostgreSQL
pip install psycopg2-binary
```

### Ошибка подключения к PostgreSQL
1. **Убедитесь, что PostgreSQL запущен:**
   ```bash
   # Windows
   netstat -an | findstr :5432
   
   # Linux/macOS
   sudo systemctl status postgresql
   ```

2. **Проверьте настройки в `shop/settings.py`** - используйте переменные окружения

3. **Проверьте, что база данных существует:**
   ```sql
   -- Подключитесь к PostgreSQL
   psql -U postgres
   
   -- Проверьте список баз данных
   \l
   
   -- Если базы нет, создайте её
   CREATE DATABASE your_database_name;
   ```

4. **Проверьте права пользователя:**
   ```sql
   -- Дайте права пользователю
   GRANT ALL PRIVILEGES ON DATABASE your_database_name TO your_user;
   ```

5. **Убедитесь, что пароль правильный** - проверьте в .env файле

### Проблемы с миграциями
```bash
# Применение миграций к PostgreSQL
python manage.py migrate

# Сброс миграций (ОСТОРОЖНО!)
python manage.py migrate --fake-initial
```

### Проверка подключения к PostgreSQL
```bash
# Проверка статуса Django
python manage.py check

# Проверка миграций
python manage.py showmigrations

# Тест подключения к базе данных
python manage.py dbshell

# Специальный скрипт проверки (рекомендуется)
python check_db.py
```

### Проверка настроек
Убедитесь, что в `shop/settings.py` правильно указаны:
- `NAME` - имя вашей базы данных
- `USER` - ваш пользователь PostgreSQL  
- `PASSWORD` - пароль пользователя
- `HOST` - обычно 'localhost'
- `PORT` - обычно '5432'

---

## 📞 Поддержка

Если у вас возникли проблемы:

1. Проверьте, что все зависимости установлены
2. Убедитесь, что виртуальное окружение активировано
3. Убедитесь, что PostgreSQL запущен и доступен
4. Проверьте настройки базы данных в `shop/settings.py`
5. Выполните миграции: `python manage.py migrate`
6. Проверьте подключение: `python manage.py check`

---

## 📄 Лицензия

Этот проект создан в образовательных целях.

.\venv\Scripts\Activate.ps1
python manage.py clear_admin_log --days 90 — удалить записи старше 90 дней
python manage.py clear_admin_log --days 30 — старше 30 дней
python manage.py clear_admin_log --all — удалить все записи",GitHub
Django Bd,Программная инженерия,Курсовая работа по Управлению данными,,,GitHub
Django Kursovaya,Программная инженерия,Курсовая работа по WEB-технологиям,HTML,,GitHub
Django Recipesite,Программная инженерия,Курсовая работа Кравец 201-322,Python,"# django_recipesite
Курсовая работа Кравец 201-322
",GitHub
Django Coursework,Программная инженерия,курсовая работа: Сервис управления рассылками,Python,,GitHub
Django 2,Программная инженерия,"Курсовая работа ""Сервис управления рассылками""",Python,"# Сервис управления рассылками

Django-приложение для управления email-рассылками, позволяющее пользователям создавать, редактировать и отслеживать рассылки, управлять получателями и просматривать статистику отправки.

##  Основные возможности

- ** Регистрация и аутентификация пользователей**
- ** Создание и управление получателями рассылки (клиенты)**
- ** Создание и редактирование сообщений (тема + тело письма)**
- ** Настройка расписания рассылки с тремя статусами:**
  - Создана
  - Запущена
  - Завершена
- ** Отправка писем по требованию (вручную)**
- ** Журнал попыток отправки с фиксацией статуса и ответа сервера**
- ** Статистика по рассылкам:**
  - Количество успешных и неуспешных попыток
  - Общее количество отправленных сообщений
  - Количество уникальных получателей
- ** Права доступа:**
  - Пользователи видят только свои рассылки
  - Менеджеры могут просматривать все рассылки и клиентов
- ** Кеширование главной страницы для повышения производительности**
- ** Адаптивный интерфейс на базе Bootstrap**

##  Роли пользователей

| Роль       | Права                                                                 |
|------------|-----------------------------------------------------------------------|
| Пользователь | Создание, редактирование и удаление своих клиентов, сообщений и рассылок |
| Менеджер   | Просмотр всех рассылок и клиентов, отключение рассылок, блокировка пользователей |

## Технологии

- Python 3.10+
- Django 4.2
- Poetry — менеджер зависимостей
- SQLite3 — база данных (для разработки)
- Pillow — обработка аватаров пользователей
- Bootstrap 5 — адаптивный интерфейс
- Django-встроенное кеширование (LocMemCache)
",GitHub
Coursework Django,Программная инженерия,"Курсовая работа ""Сервис управления рассылками""",,"# Coursework-Django
Курсовая работа ""Сервис управления рассылками""
",GitHub
Kursovayrabota,Программная инженерия,"Курсовая работа ""Создание приложения на Django""",,,GitHub
Coursework Pythondjango,Программная инженерия,Курсовая работа на 23.12.17,Python,,GitHub
Carhub Avtoportal,Программная инженерия,Курсовая работа по Django — автомобильный портал,Python,,GitHub
Car Credit Calculator,Программная инженерия,"Курсовая работа Кредитный калькулятор, Автокредит. Python, Django.",HTML,"# Car-Credit-Calculator
Курсовая работа Кредитный калькулятор, Автокредит. Python, Django.
",GitHub
Coursework 6,Программная инженерия,"Курсовая работа ""Основы веб-разработки на Django""",Python,"# Курсовая работа 6

<div align=""center"">
<a href=""https://wakatime.com/@IldarGaleev/projects/coursework_6""><img src=""https://wakatime.com/badge/user/45799db8-b1f8-4627-9264-2c8d4c352567/project/018d6055-7d00-4097-a133-658e7c54a640.svg"" alt=""wakatime""></a>
<img src=""https://img.shields.io/github/last-commit/IldarGaleevSkyProHomeworks/coursework_6.svg""/>
</div>

1. Установите зависимости

``` PowerShell
poetry install
```

2. Создайте базу данных и пропишите настройки подключения в файле .env ([шаблон файла](.env.template))
3. Задайте необходимые [переменные окружения](#переменные-окружения)
4. Примените миграции


``` PowerShell 
 python .\manage.py migrate
```

5. Создайте учетную запись администратора

``` PowerShell
python .\manage.py createsuperuser
```
6. Запустите сервер
``` PowerShell
python .\manage.py runserver
```
7. Добавьте задачи в `cron` для отправки e-mail сообщений
> [!TIP]
> 
> Для ОС Windows воспользуйтесь [WSL](https://learn.microsoft.com/ru-ru/windows/wsl/setup/environment)
> 
``` PowerShell
python .\manage.py crontab add
```

## Переменные окружения

> [!TIP]
> 
> Поддерживается файл `.env` для назначения переменных. [Шаблон файла](.env.template)
> 

### Общие

| Переменная      | Файл настроек                            | Назначение               |
|-----------------|------------------------------------------|--------------------------|
| `SECRET_KEY`    | [config/settings.py](config/settings.py) | Ключ безопасности Django |
| `SITE_ID`       | [config/settings.py](config/settings.py) | Текущий домен            |



### Postgres

| Переменная    | Файл настроек                            | Назначение                          |
|---------------|------------------------------------------|-------------------------------------|
| `PG_NAME`     | [config/settings.py](config/settings.py) | Имя базы данных                     |
| `PG_USER`     | [config/settings.py](config/settings.py) | Имя пользователя для подключения    |
| `PG_PASSWORD` | [config/settings.py](config/settings.py) | Пароль пользователя для подключения |
| `PG_HOST`     | [config/settings.py](config/settings.py) | Имя хоста с сервером                |
| `PG_PORT`     | [config/settings.py](config/settings.py) | Порт сервера                        |


### Страница публикаций

| Переменная               | Файл настроек                            | Назначение                                             |
|--------------------------|------------------------------------------|--------------------------------------------------------|
| `ARTICLES_PER_PAGE`      | [blog_app/apps.py](blog_app/apps.py)     | Количество публикаций на странице                      |
| `POPULAR_ARTICLES_COUNT` | [config/settings.py](config/settings.py) | Отображаемое количество публикаций на главной странице |


### Кеширование
| Переменная                | Файл настроек                            | Назначение                               |
|---------------------------|------------------------------------------|------------------------------------------|
| `REDIS_CONNECTION_STRING` | [config/settings.py](config/settings.py) | Строка подключения к Redis               |
| `CACHE_ENABLED`           | [config/settings.py](config/settings.py) | Включить кеширование                     |
| `REDIS_CACHE_DATABASE`    | [config/settings.py](config/settings.py) | БД Redis, используемая для кеширования   |
| `PAGE_CACHE_TIME`         | [config/settings.py](config/settings.py) | Время (сек.) обновления кеша контроллера |

### Логирование

Для настройки логирования укажите путь к json файлу конфигурации в переменной окружения `LOGGING_CONFIG_FILE`.

Пример файла конфигурации для вывода отладочных сообщений в консоль от менеджера фоновых задач:

```json
{
  ""version"": 1,
  ""disable_existing_loggers"": false,
  ""handlers"": {
    ""console"": {
      ""class"": ""logging.StreamHandler""
    }
  },
  ""root"": {
    ""handlers"": [
      ""console""
    ],
    ""level"": ""WARNING""
  },
  ""loggers"": {
    ""tasks.send_mail"": {
      ""level"": ""DEBUG""
    }
  }
}
```

### Фоновые задачи

| Переменная                         | Файл настроек                            | Назначение                             |
|------------------------------------|------------------------------------------|----------------------------------------|
| `BG_TASK__REDIS_HOSTNAME`          | [config/settings.py](config/settings.py) | Сервер `Redis`                         |
| `BG_TASK__REDIS_PORT`              | [config/settings.py](config/settings.py) | Порт сервера `Redis`                   |
| `BG_TASK__REDIS_DB`                | [config/settings.py](config/settings.py) | База данных `Redis`                    |
| `ACCOUNT_SERVICE_MAIL_RETRY_COUNT` | [config/settings.py](config/settings.py) | Число повторных попыток отправки писем |
| `ACCOUNT_SERVICE_MAIL_TASK_TTL`    | [config/settings.py](config/settings.py) | Время жизни задачи                     |

## Учетная запись менеджера 

Для создания учетных записей менеджеров создайте группу со следующими правами или назначьте их напрямую пользователю:

| Разрешение                     | Описание                                 |
|--------------------------------|------------------------------------------|
| `app_accounts.view_user`       | Может просматривать список пользователей |
| `app_accounts.can_block_users` | Может блокировать пользователей          |
| `app_mailing.view_mailing`     | Может просматривать рассылки             |
| `app_mailing.can_stop_mailing` | Может останавливать рассылки             |
| `app_mailing.view_mailmessage` | Может просматривать письма рассылок      |",GitHub
Mailing Service,Программная инженерия,Django сервис управления email-рассылками - курсовая работа,JavaScript,"# Сервис управления рассылками

Веб-приложение для управления email-рассылками, разработанное на Django 5.0.2.

## 📋 Функциональность

### Основные возможности:
- **Управление клиентами** (CRUD операции)
- **Управление сообщениями** (шаблоны писем)
- **Управление рассылками** (планирование и отправка)
- **История отправок** (попытки рассылок)
- **Аутентификация и авторизация**
- **Разграничение прав доступа** (пользователь/менеджер)
- **Кеширование** для повышения производительности
- **Адаптивный интерфейс** на Bootstrap 5

### Модели данных:
- `Client` - получатели рассылок
- `Message` - шаблоны сообщений  
- `Mailing` - рассылки
- `MailingAttempt` - история попыток
- `User` - пользователи системы

## 🚀 Быстрый старт

1. Клонировать репозиторий
2. Установить зависимости: `pip install -r requirements.txt`
3. Настроить `.env` файл (см. `.env.example`)
4. Выполнить миграции: `python manage.py migrate`
5. Создать суперпользователя: `python manage.py createsuperuser`
6. Запустить сервер: `python manage.py runserver`

## 📊 Критерии выполнения

Проект соответствует всем 89 критериям ТЗ курсовой работы:

- ✅ Общие критерии: 12/12
- ✅ Модели: 28/28  
- ✅ Контроллеры и шаблоны: 17/17
- ✅ Интерфейс: 17/17
- ✅ Права доступа: 11/11
- ✅ Кеширование: 1/1
- ✅ Рассылки: 3/3

**Итого: 89/89 критериев выполнено**

## 🔧 Технологии

- Python 3.13
- Django 5.0.2
- SQLite (разработка)
- Bootstrap 5
- Django Crispy Forms
- Flake8 (проверка кода)

## 👤 Автор

Жанна Иванова
GitHub: [ZhannaIvanova10](https://github.com/ZhannaIvanova10)

---
*Курсовая работа по Django. Все критерии выполнены.*
",GitHub
Cw Drf,Программная инженерия,Курсовая работа по DRF DJANGO (good habbits),Python,"# CW_DRF
Курсовая работа по DRF DJANGO (good habbits)

### работают следующие команды для Windows с celery и celery-beat
`celery -A config worker --loglevel=info -E -P eventlet`
`celery -A config beat -l info -S django`

# CW_DRF_DOCKER
1 Запускаем докер
2 Создаем сеть `docker network create habits`
3 Заполяем .env на примере .env_example

```
    SECRET_KEY=your secret key
    
    DB_ENGINE=django.db.backends.postgresql
    POSTGRES_DB=drf_cw
    POSTGRES_USER=postgres
    POSTGRES_PASSWORD=your_password
    DB_HOST=db
    DB_PORT=5432
    
    CELERY_BROKER_URL=redis://redis:6379/0
    CELERY_RESULT_BACKEND=redis://redis:6379/0
    
    TG_BOT_TOKEN=78******39:key    
```
4 для корректной работы необходимо добавить `TG_BOT_TOKEN`
5 Пулим Python `docker pull python`
5 Запускаем контейнер  `docker-compose up -d --build`
6 Проверяем запуск `docker ps`
7 Запускаем для теста сайт документации: http://localhost:8000/redoc/
",GitHub
Online Testing System,Программная инженерия,Курсовая работа 6 семестра по бэкэнду (Django),HTML,"# online_testing_system
Курсовая работа 6 семестра по бэкэнду (Django)
",GitHub
Coursework Djangosecurity,Программная инженерия,"Курсовая работа на тему ""Безопасность web-приложений, использующих фреймворк Django""",JavaScript,"# Coursework-DjangoSecurity
Курсовая работа на тему ""Безопасность web-приложений, использующих фреймворк Django""
",GitHub
Mtuci Bss1902 Django Applications,Программная инженерия,Курсовая работа по учебной дисциплине «Введение в информационные технологии»,Python,,GitHub
Coursework6 Django,Программная инженерия," Курсовая работа №6 в Скайпро ""Основы веб-разработки на Django"" ",Python,"# Сервис управления рассылками на Django
## Задача:
- Реализовать интерфейс заполнения рассылок: CRUD-механизм для управления рассылками.
- Реализовать скрипт рассылки, который работает как из командной строки, так и по расписанию.
- Добавить настройки конфигурации для периодического запуска задачи.
- Расширить модель пользователя для регистрации по почте, а также верификации.
- Добавить интерфейс для входа, регистрации и подтверждения почтового ящика.
- Реализовать ограничение доступа к рассылкам для разных пользователей.
- Создать блог для продвижения сервиса.
- Реализовать главную страницу.

## Реализованная логика работы рассылки
- При создании рассылки пользователь вводит тему и текст письма, выбирает получателей, указывает дату начала и дату окончания рассылки, её периодичность:
    - можно задать рассылку с несколькими разными настройками времени (например, если мы хотим отправлять её в определённые периоды по нескольку дней несколько раз в год);
    - на уровне контроллера запрещено создание рассылки в прошлом;
    - на уровне контроллера валидируется, что дата окончания рассылки должна быть больше даты начала.
- По умолчанию каждой новой рассылке при сохранении устанавливается статус ""создана"".
- При наступлении даты рассылки её статус автоматически будет изменён на ""запущена"", из справочника будут выбраны все получатели, которые указаны в настройках рассылки, 
и запущена отправка на все email адреса получателей.
- Если создается рассылка со временем старта в будущем, то отправка стартует автоматически по наступлению этого времени без дополнительных 
действий со стороны пользователя системы.
- После отправки рассылки в базе устанавливается время её следующей отправки в зависимости от выбранной периодичности (ежедневно, еженедельно или ежемесячно).
- После окончания времени рассылки её статус автоматически будет переведён в состояние завершённой.
- По ходу отправки сообщений собирается статистика (id сообщения, дата и время рассылки, 
статус - успешно / не успешно, сообщение об ошибке, если оно было)
по каждому сообщению для последующего формирования отчетов.
- Автоматическая рассылка реализована с помощью библиотеки django-crontab. По умолчанию система проверяет наличие новых рассылок и отправляет их с периодичностью 5 минут (настройку можно изменить в config/settings.py -> CRONJOBS).
- Добавление автоматической рассылки
```python
python manage.py crontab add
```
- Рассылка может быть запущена в любое время из командной строки с помощью кастомной команды.
```python
python manage.py getmail
```

## Пользователи:
### Администратор системы (суперпользователь)
- Команда для создания суперпользователя
```python
python manage.py ccsu
```
### Интерфейс пользователя системы
- Расширена модель пользователя для регистрации по почте, а также верификации электронного адреса. Добавлен интерфейс для входа, регистрации и подтверждения почтового ящика, редактирования профиля.
- Пользователь может создавать рассылки, добавлять подписчиков, управлять своими рассылками и списком подписчиков.
- Каждый пользователь системы имеет доступ только к своему списку рассылок и подписчиков.
### Функционал менеджеров рассылки
- Может просматривать любые рассылки.
- Может просматривать список пользователей сервиса.
- Может просматривать список подписчиков всех пользователей.
- Может блокировать пользователей сервиса (кроме суперадминов). 
- Может отключать рассылки. 
- Не может редактировать рассылки других пользователей.
- Не может редактировать подписчиков других пользователей.
- Не может управлять списком рассылок.

![Manager permissions](static/img/manager_perms.png)
## Блог
В сущность блога добавлены следующие поля:
- заголовок,
- содержимое статьи,
- изображение,
- количество просмотров,
- дата публикации,
- автор.

Для ведения блога необходимо настроить административную панель для контент-менеджера.

![Content manager permisions](static/img/content-manager-perms.png)

## Главная страница
На главной странице отображается информация:
- количество рассылок всего,
- количество активных рассылок,
- количество уникальных клиентов для рассылок,
- 3 случайные статьи из блога.

Для вывода всех статей блога и отображения количества активных рассылок включено кэширование (Redis).

Необходимые для работы библиотеки указаны в requirements.txt. Примеры переменных окружения указаны в файле .env_sample

Работа выполнена на основе [ТЗ](https://my.sky.pro/student-cabinet/stream-module/10981/course-final-work/materials).

![Дефолтный котик](static/img/article_default_img.jpg ""Дефолтный котик в шоке"")

",GitHub
Postgreslab,Программная инженерия,"Лабораторные, практические и курсовая работы по дисциплине ""Клиент-серверные системы управления базами данных""",HTML,"# Лабораторные, практические и курсовая работы по дисциплине клиент-серверные системы управления базами данных.

* **Авторы решений:** [**Носков Сергей**](https://github.com/Sergey-Noskov), [**Миноцкий Ян**](https://github.com/Yan-Minotskiy).
* **Время разработки:** февраль-июнь 2021
* **Используемые технологии:** [PostgreSQL](https://www.postgresql.org/), [PgAdmin](https://www.pgadmin.org/), [Python](https://www.python.org/), [Flask](https://flask-russian-docs.readthedocs.io/ru/master/), [Aiogram](https://github.com/aiogram/aiogram)

## Лабораторные работы

- [x] [1. Работа со сторонними базами данных. Построение и оптимизация](Лабораторные%20работы/Лабораторная%20№1%20-%20Работа%20со%20стороннними%20базами%20данных.%20Построение%20и%20оптимизация.md)
- [x] [2-5. Управление контактами с клиентами](Лабораторные%20работы/Лабораторная%20№2-5%20-%20Управление%20контактами%20с%20клиентами.md)
- [x] [6-7. Разработка интерфейса взаимодействия с информационной системой](Лабораторные%20работы/Лабораторная%20№6-7%20-%20Разработка%20интерфейса%20взаимодействия%20с%20информационной%20системой.md)
- [x] [8. SQL-инъекции в созданную базу данных](Лабораторные%20работы/Лабораторная%20№8%20-%20SQL-инъекции%20в%20созданную%20базу%20данных.md)

## Практические работы

- [x] [1. Создание базы данных](./Практические%20работы/Практика%20№1%20-%20Создание%20базы%20данных.md)
- [x] [2. Доработка базы данных и оптимизация](./Практические%20работы/Практика%20№2%20-%20Доработка%20базы%20данных%20и%20оптимизация.md)
- [x] [3. Администрирование](./Практические%20работы/Практика%20№3%20-%20Администрирование.md)
- [x] [4. Работа с транзакциями](./Практические%20работы/Практика%20№4%20-%20Работа%20с%20транзакциями.md)
- [x] [5. Работа с группами ролей и ролями](./Практические%20работы/Практика%20№5%20-%20Работа%20с%20группами%20ролей%20и%20ролями.md) 
- [x] [6. Работа с индексами](Практические%20работы/Практика%20№6%20-%20Работа%20с%20индексами.md)
- [x] [7. Резервное копирование базы данных](./Практические%20работы/Практика%20№7%20-%20Резервное%20копирование%20базы%20данных.md)
- [x] [8. Сбор статистики базы данных](./Практические%20работы/Практика%20№8%20-%20Сбор%20статистика%20базы%20данных.md)

## [Курсовая работа](Курсовая%20работа/Курсовая%20работа.md)
Разработка системы электронного взыскания долгов и электронного документооборота для [Федеральной службы судебных приставов](https://fssp.gov.ru/). 
",GitHub
Pc Parts Kurs,Программная инженерия,курсовая работа по учету компьютерных запчастей,Python,,GitHub
Kursgalery,Программная инженерия,Курсовая на python Flask ,,,GitHub
Irfm Python Coursework,Программная инженерия,"Курсовая работа по дисциплине ""Информационные ресурсы в финансовом мониторинге"".",Python,,GitHub
Kursa4,Программная инженерия,Моя курсовая работа на python+flask с сайтом и БД,Python,,GitHub
Coursework,Программная инженерия,"Курсовая работа по дисциплине ""Разработка информационных систем"" - Python (Flask) + HTML + CSS",HTML,,GitHub
Разработка веб-приложения для онлайн-магазина,Программная инженерия,Разработка разработка веб-приложения для онлайн-магазина с использованием современных веб-технологий.,"Python, Django, PostgreSQL, JavaScript","ПОЯСНИТЕЛЬНАЯ ЗАПИСКА
к курсовой работе студента

Тема: «Разработка веб-приложения для онлайн-магазина»

Студент: Иванов И.И.
Группа: ИТ-21-1
Специальность: Программная инженерия

Руководитель: доц. Петров П.П.

Москва — 2026

1. ВВЕДЕНИЕ

Актуальность темы. В условиях цифровизации современного общества разработка разработка веб-приложения для онлайн-магазина является высокоактуальной задачей.

Цель работы: разработка и реализация разработка веб-приложения для онлайн-магазина с использованием современных технологий программирования.

Задачи исследования:
• проанализировать существующие аналоги;
• разработать архитектуру приложения;
• реализовать основную функциональность;
• провести тестирование разработанного решения;
• сформулировать выводы.

2. ОБЗОР ПРЕДМЕТНОЙ ОБЛАСТИ

На сегодняшний день существует большое количество решений в данной сфере. Однако многие из них обладают существенными недостатками...

3. АРХИТЕКТУРА ПРИЛОЖЕНИЯ

Для реализации проекта выбран язык программирования Python. В качестве основного фреймворка использован Python. 
Для хранения данных применяется база данных  PostgreSQL.

4. РЕАЛИЗАЦИЯ

На данном этапе была успешно реализована основная функциональность приложения...

5. ТЕСТИРОВАНИЕ

Было проведено модульное и интеграционное тестирование. Результаты тестирования показали высокую стабильность работы системы.

6. ЗАКЛЮЧЕНИЕ

В ходе выполнения курсовой работы цель была полностью достигнута. Разработанное приложение соответствует современным требованиям.

Список использованной литературы
1. Мартин Р. Чистый код. — СПб.: Питер, 2022.
2. Фаулер М. Рефакторинг. — М.: Вильямс, 2019.
3. Официальная документация Python.",Synthetic
